title,image_url,product_link,inner_product_description,table_details
Ripe Vapes 120mL,https://vapewholesaleusa.com/media/catalog/product/cache/43f793541429a32d73b1b8824ee6323b/r/i/ripe-vapes-120ml.jpg,https://vapewholesaleusa.com/ripe-vapes-120ml,"RIPE VAPES 120ML
Enjoy a variety of rich and bold flavors with Ripe Vapes' extraordinary line of freebase tobacco flavors, available in 3mg, 6mg & 12mg nicotine.
 Flavors:
VCT
VCT Bold
Platinum Tobacco
 Features:
3mg, 6mg & 12mg Nicotine Levels
Freebase E-Liquid
120mL Bottle","[{'flavor': 'VCT', 'nicotine level': '3mg', 'availability': 2961, 'unit price': 11.25}, {'flavor': 'VCT', 'nicotine level': '6mg', 'availability': 2856, 'unit price': 11.25}, {'flavor': 'VCT', 'nicotine level': '12mg', 'availability': 942, 'unit price': 11.25}, {'flavor': 'VCT Bold', 'nicotine level': '3mg', 'availability': 267, 'unit price': 11.25}, {'flavor': 'VCT Bold', 'nicotine level': '6mg', 'availability': 365, 'unit price': 11.25}, {'flavor': 'VCT Bold', 'nicotine level': '12mg', 'availability': 104, 'unit price': 11.25}, {'flavor': 'Platinum Tobacco', 'nicotine level': '3mg', 'availability': 338, 'unit price': 11.25}, {'flavor': 'Platinum Tobacco', 'nicotine level': '6mg', 'availability': 205, 'unit price': 11.25}, {'flavor': 'Platinum Tobacco', 'nicotine level': '12mg', 'availability': 91, 'unit price': 11.25}]"
Ripe Vapes Salt Nic 30mL,https://vapewholesaleusa.com/media/catalog/product/cache/43f793541429a32d73b1b8824ee6323b/r/i/ripe-vapes-salt-nic-30ml.jpg,https://vapewholesaleusa.com/ripe-vapes-salt-nic-30ml,"RIPE VAPES SALT NIC 30ML
Indulge in varieties of premium tobacco with Ripe Vapes' extraordinary line of salt nic flavors, available in 30mg & 50mg nicotine.
 Flavors:
Platinum Tobacco
VCT
VCT BOLD
 Features:
Salt Nicotine E-Liquid
30mg & 50mg Nicotine
30mL Bottle","[{'flavor': 'VCT', 'nicotine level': '50mg', 'availability': 3150, 'unit price': 9.0}, {'flavor': 'VCT', 'nicotine level': '30mg', 'availability': 2587, 'unit price': 9.0}, {'flavor': 'VCT Bold', 'nicotine level': '50mg', 'availability': 525, 'unit price': 9.0}, {'flavor': 'VCT Bold', 'nicotine level': '30mg', 'availability': 537, 'unit price': 9.0}, {'flavor': 'Platinum Tobacco', 'nicotine level': '50mg', 'availability': 230, 'unit price': 9.0}, {'flavor': 'Platinum Tobacco', 'nicotine level': '30mg', 'availability': 196, 'unit price': 9.0}]"
Dummy Vapes 8000 Puffs Disposable,https://vapewholesaleusa.com/media/catalog/product/cache/43f793541429a32d73b1b8824ee6323b/d/u/dummy_vape_all_flavors.jpg,https://vapewholesaleusa.com/dummy-vapes-8000-puffs-disposable,"DUMMY VAPES 8000 PUFFS DISPOSABLE
For fans of Tekashi 6ix9ine, we got'chu. Dummy Vapes 8000 Puffs Disposable is the flavorful new vape by the truly unique rapper and artist known for his colorful dyed hair and equally colorful use of language. Available in a wide variety of refreshing and chill flavors, don't be a dummy, buy these vapes!
Flavors:
Alien Invasion
Bad Berry
Brooklyn Blue
Clear
Cosmic Blast
Dummy Dream
Fizzy Lemon
Fruit Frenzy
Gangsta Punch
Gooba Grape
Gummo Gummy
Kika Kiwi
King of NY
Rainbow Rapper
Redd Dummy
Stoopid Strawberry
Tobacco
Trollz Twist
Twisted Tangy
Wacky Watermelon
Fruit Frenzy
69 Lush Ice
Zesty ZaZa
Features:
5%
Liquid – 18mL
Rechargeable via USB-C
8000 Puffs Per Device
 ",[]
Chubby Bubble Vapes Series 100mL,https://vapewholesaleusa.com/media/catalog/product/cache/43f793541429a32d73b1b8824ee6323b/c/h/chubby_bubble_series_100ml_600x600.png,https://vapewholesaleusa.com/chubby-bubble-vapes-series-100ml,"CHUBBY BUBBLE VAPES SERIES 100ML
Flavors:
Bubble Razz
Bubble Purp
Bubble Melon
Bubble Razzmelon Ice
Bubble Peach Twist
 Features:
100mL Bottle
Available Nicotine – 0mg, 3mg, 6mg
VG/PG Ratio – 70VG/30PG","[{'nicotine level': '0mg', 'flavor': 'Bubble Razz', 'availability': 36, 'unit price': 7.75}, {'nicotine level': '0mg', 'flavor': 'Bubble Purp', 'availability': 15, 'unit price': 7.75}, {'nicotine level': '0mg', 'flavor': 'Bubble Melon', 'availability': 18, 'unit price': 7.75}, {'nicotine level': '0mg', 'flavor': 'Bubble Razzmelon Ice', 'availability': 5, 'unit price': 7.75}, {'nicotine level': '0mg', 'flavor': 'Bubble Peach Twist', 'availability': 2, 'unit price': 7.75}, {'nicotine level': '3mg', 'flavor': 'Bubble Razz', 'availability': 250, 'unit price': 7.75}, {'nicotine level': '3mg', 'flavor': 'Bubble Purp', 'availability': 103, 'unit price': 7.75}, {'nicotine level': '3mg', 'flavor': 'Bubble Melon', 'availability': 18, 'unit price': 7.75}, {'nicotine level': '3mg', 'flavor': 'Bubble Peach Twist', 'availability': 8, 'unit price': 7.75}, {'nicotine level': '6mg', 'flavor': 'Bubble Razz', 'availability': 85, 'unit price': 7.75}, {'nicotine level': '6mg', 'flavor': 'Bubble Purp', 'availability': 44, 'unit price': 7.75}, {'nicotine level': '6mg', 'flavor': 'Bubble Melon', 'availability': 25, 'unit price': 7.75}, {'nicotine level': '6mg', 'flavor': 'Bubble Razzmelon Ice', 'availability': 9, 'unit price': 7.75}, {'nicotine level': '6mg', 'flavor': 'Bubble Peach Twist', 'availability': 8, 'unit price': 7.75}]"
Lost Vape Ursa Nano 2 Pod Kit,https://vapewholesaleusa.com/media/catalog/product/cache/43f793541429a32d73b1b8824ee6323b/l/o/lost-vape-ursa-nano-2_1_.jpg,https://vapewholesaleusa.com/lost-vape-ursa-nano-2-pod-kit,"LOST VAPE URSA NANO 2 POD KIT
Introducing the Lost Vape Ursa Nano 2 Pod Kit, a seamless and sophisticated new vape. With an ergonomic Bio-Kit Grip, this product offers both comfort and a sleek design. This powerful pod kit comes with the Quest 2.0 Chip, offering a 22W power output.
Colors:
Dynamic Space
Transfo Space
Engine Space
Astro Space
Icy Space 
Chrome Soul
Royal Soul
Pink Survivor
Wild Soul
Revenge Soul
Features:
Type-C Cable
O-Ring
Lanyard
0.6 and 0.8 Ursa Cartridges
Warranty Card","[{'color': 'Pink Survivor', 'availability': 14, 'unit price': 15.99}, {'color': 'Dynamic Space', 'availability': 6, 'unit price': 15.99}, {'color': 'Transfo Space', 'availability': 8, 'unit price': 15.99}, {'color': 'Engine Space', 'availability': 2, 'unit price': 15.99}, {'color': 'Astro Space', 'availability': 7, 'unit price': 15.99}, {'color': 'Icy Space', 'availability': 10, 'unit price': 15.99}, {'color': 'Chrome Soul', 'availability': 12, 'unit price': 15.99}, {'color': 'Royal Soul', 'availability': 6, 'unit price': 15.99}, {'color': 'Wild Soul', 'availability': 12, 'unit price': 15.99}, {'color': 'Revenge Soul', 'availability': 11, 'unit price': 15.99}]"
Lost Vape Ursa Epoch (Kit PS),https://vapewholesaleusa.com/media/catalog/product/cache/43f793541429a32d73b1b8824ee6323b/l/o/lost-vape-ursa-epoch.jpg,https://vapewholesaleusa.com/lost-vape-ursa-epoch-kit-ps,"The Lost Vape Ursa Epoch features a 1000mAh battery, 2.5ml vape juice capacity, and a 0.42-inch display screen. Part of the Lost Vape Ursa Series, it uses the Quest 2.0 Chip and offers multiple protections, including 10-second overtime protection. With adjustable output and airflow, it suits both MTL and RDL vaping. It has automatic pod detection, a clear display, and supports resistance from 0.5ohm to 2.0ohm. 
Colors:
Arcade Era
Crush Mix
Firefly Planet
Joy Club
Pulse Mix
Racing Zone
Features:
1000mAh Battery Capacity
2.5mL of E-Liiquid
Airflow Control
Type-C Charging Port (5V/1A)
Compatible With Lost Vape Ursa Pod Cartridge V2
0.5ohm - 2.0ohm Resistance","[{'color': 'Arcade Era', 'availability': 5, 'unit price': 10.75}, {'color': 'Crush Mix', 'availability': 9, 'unit price': 10.75}, {'color': 'Firefly Planet', 'availability': 10, 'unit price': 10.75}, {'color': 'Joy Club', 'availability': 2, 'unit price': 10.75}, {'color': 'Pulse Mix', 'availability': 15, 'unit price': 10.75}, {'color': 'Racing Zone', 'availability': 17, 'unit price': 10.75}]"
Lost Vape Centaurus M100 Box Mod Kit,https://vapewholesaleusa.com/media/catalog/product/cache/43f793541429a32d73b1b8824ee6323b/l/o/lost_vape_centaurus_m100_box_mod_kit_-_all_1.jpg,https://vapewholesaleusa.com/lost-vape-centaurus-m100-box-mod-kit,"LOST VAPE CENTAURUS M100 BOX MOD KIT
The Lost Vape Centaurus M100 Box Mod Kit is the perfect choice for any vape enthusiast. With a 4mL e-juice capacity, maximum power output of 100W, and many other features, the Lost Vape Centaurus M100 Box Mod Kit has it all covered. Check out the variety of color options for the Lost Vape Centaurus M100 Box Mod Kit and so much more at the best prices now!
Features:
4mL E-Juice Capacity
Battery: 18650 Battery (NOT INCLUDED)
0.96"" TFT Screen
Quest 2.0 Chipset
3-in-1 Jog Dial Interface
Power Output: 5W-100W
Rechargeable via USB Type-C
Included in Packaging:
1x Lost Vape Centarurus M100 Box Mod Kit
1x Lost Vape Centaurus Sub Coo Tank 4mL
1x Replacement Glass 5mL
1x 0.2ohm UB Max X2 Coil
1x 0.3ohm UB Max X3 Coil
1x O-Ring Pack
1x USB Type-C Cable","[{'color': 'Midnight Blue', 'availability': 15, 'unit price': 40.0}, {'color': 'Gunmetal Grey', 'availability': 19, 'unit price': 40.0}, {'color': 'Dusty Rose', 'availability': 9, 'unit price': 40.0}, {'color': 'Galaxy Beige', 'availability': 7, 'unit price': 40.0}, {'color': 'Ice Mint', 'availability': 12, 'unit price': 40.0}, {'color': 'Interstellar', 'availability': 2, 'unit price': 40.0}, {'color': 'Knight Black', 'availability': 7, 'unit price': 40.0}, {'color': 'Lunar Pink', 'availability': 10, 'unit price': 40.0}]"
Lost Vape Thelema Elite 40 Pod Kit,https://vapewholesaleusa.com/media/catalog/product/cache/43f793541429a32d73b1b8824ee6323b/l/o/lost-vape-thelema-elite-40-pod-kit_1.jpg,https://vapewholesaleusa.com/lost-vape-thelema-elite-40-pod-kit,"LOST VAPE THELEMA ELITE 40 POD KIT
BE ELITE! BE, BE ELITE with Lost Vape Thelema Elite 40 Pod Kit. This device is the newest update to Lost Vape's Thelema series and exudes everything you'd want from a highly technical, modern pod system. Built with compatibility with the new leak-proof E-Plus Cartridge & E-Plus RBA Cartridge with 3mL filling capacity, and powered by a 1400mAh battery with 40W max output, the Thelema Elite 40 is made to product as much flavor as possible, making for a more pleasurable vaping experience overall. Also featuring adjustable airflow on the side of the device and a luxe leather feel for a nice, comfy grip.
 Colors:
Eagle Black
Eagle Grey
Pink Survivor
Black Carbon
Blue Carbon
Emerald Carbon
Midnight Black
Gunmetal Espresso
Silver Blue
Features:
1400mAh Built-in Battery
5W-40W Power Range
E-Plus Cartridge Comptability - 3mL
0.3ohm - 1.0ohm Coil Resistance
Type-C Rechargeable
Adjustable Airflow
Leather Grip
Includes:
 STANDARD KIT
(1) Thelema Elite 40 Device
(1) 0.3ohm E-Plus Cartridge (3mL)
(1) 0.6ohm E-Plus Cartridge (3mL)
(1) Lanyard
(1) User Manual
(1) Warranty Card
(1) Type-C Cable
 TPD KIT
(1) Thelema Elite 40 Device
(1) 0.3ohm E-Plus Cartridge (2mL)
(1) 0.6ohm E-Plus Cartridge (2mL)
(1) Lanyard
(1) User Manual
(1) Warranty Card
(1) Type-C Cable","[{'color': 'Silver Blue', 'availability': 8, 'unit price': 19.75}, {'color': 'Midnight Black', 'availability': 12, 'unit price': 19.75}, {'color': 'Eagle Black', 'availability': 7, 'unit price': 19.75}, {'color': 'Eagle Grey', 'availability': 18, 'unit price': 19.75}, {'color': 'Pink Survivor', 'availability': 11, 'unit price': 19.75}, {'color': 'Black Carbon', 'availability': 6, 'unit price': 19.75}, {'color': 'Blue Carbon', 'availability': 4, 'unit price': 19.75}, {'color': 'Emerald Carbon', 'availability': 8, 'unit price': 19.75}, {'color': 'Gunmetal Espresso', 'availability': 15, 'unit price': 19.75}]"
Lost Vape Centaurus B60 B80 AIO Pod Mod,https://vapewholesaleusa.com/media/catalog/product/cache/43f793541429a32d73b1b8824ee6323b/l/o/lost-vape-b60-b80-aio-pod-mod_1.jpg,https://vapewholesaleusa.com/lost-vape-b60b80-aio-pod-mod,"LOST VAPE CENTAURUS B60 B80 AIO POD MOD
With Lost Vape Centaurus B60B80 AIO Pod Mod, the excuse to not upgrade your vape has never been weaker. With two power-based variants ranging from 1600mAh (B60) to the ultra impressive 18650 single battery (B80), the flavor production and endurance of this pod mod is unparalleled. And as if that isn't enough, easily switch between a wide variety of designed plates to always keep the appearance of the device personalized to you. 
 Editions:
B60 (1600mAh Built-In Battery)
B80 (18650 Single Battery)*
Features:
1600mAh or 18650 Battery
60W - 80W Max Output Power
Normal (B60) / RBA (B80) Modes
0.42'' OLED Screen
B60 Compatible Coils: B Ultra M7 Coil & UB Ultra M6 Coil
B80 Compatible Coils: B Ultra M8 Coil & UB Ultra M7 Coil
 *Battery not included. Purchase from our selection here.","[{'style': 'B60', 'color': 'Cyber Storm', 'availability': 2, 'unit price': 37.25}, {'style': 'B60', 'color': 'Cyber Black', 'availability': 13, 'unit price': 37.25}, {'style': 'B60', 'color': 'Laser Black', 'availability': 22, 'unit price': 37.25}, {'style': 'B60', 'color': 'Pink Keep', 'availability': 2, 'unit price': 37.25}, {'style': 'B60', 'color': 'Laser Gunmetal', 'availability': 8, 'unit price': 37.25}, {'style': 'B60', 'color': 'Winter Splatter', 'availability': 10, 'unit price': 37.25}, {'style': 'B60', 'color': 'Spring Blast', 'availability': 3, 'unit price': 37.75}, {'style': 'B60', 'color': 'Summer Breeze', 'availability': 9, 'unit price': 37.25}, {'style': 'B80', 'color': 'Nebula Sparkle', 'availability': 12, 'unit price': 49.0}, {'style': 'B80', 'color': 'Gush Grey', 'availability': 2, 'unit price': 49.0}, {'style': 'B80', 'color': 'Gush Black', 'availability': 16, 'unit price': 49.0}, {'style': 'B80', 'color': 'Gush Green', 'availability': 7, 'unit price': 49.0}]"
Lost Vape Centaurus M200 Mod,https://vapewholesaleusa.com/media/catalog/product/cache/43f793541429a32d73b1b8824ee6323b/l/o/lost-vape-centaurus-m200-mod-all.jpg,https://vapewholesaleusa.com/lost-vape-centaurus-m200-mod,"LOST VAPE CENTAURUS M200 MOD
The Lost Vape Centaurus M200 Mod gives you a wide power range from 5-200W with a rechargeable USB-C plug. There are 7 colors coated in stainless steel which side panel can be replaceable making you stand out from the crowd. Time to try one from the Lost Vape family!
 Colors:
Midnight Blue
Gunmetal Gray
Galaxy Black
Golden Knight
Pink Planet
Dying Light (Limited Edition)
Splatoon (Limited Edition)
Parameters
Screen Pixel: 0.96″80*160
Power Range: 5-200W
Input Current:1A-40A
Output Voltage:0.7V-10V
Battery Voltage: 3.0V-4.2V
Input Voltage:6.0V-8.4V
Features:
Body Material: Aluminum Alloy & Stainless Steels
Quest 2.0 Chip
Replaceable Side Panel
Battery: Dual 18650 Battery(Not Included)
Charging: Type C / USB-C","[{'color': 'Midnight Blue', 'availability': 6, 'unit price': 41.0}, {'color': 'Gunmetal Gray', 'availability': 5, 'unit price': 41.0}, {'color': 'Galaxy Black', 'availability': 5, 'unit price': 44.0}, {'color': 'Golden Knight', 'availability': 6, 'unit price': 44.0}, {'color': 'Pink Planet', 'availability': 13, 'unit price': 44.0}]"
